id,Operator,RouteNumber,Mode,Description,Code
448,1,MK234,b,MK234b,MK
449,1,MK234,b,MK234c,MK
450,1,MK236,b,MK236a,MK
451,1,MK236,b,MK236b,MK
452,1,MK236,b,MK236c,MK
453,1,MK273,b,MK273a,MK
454,1,MK238,b,MK238a,MK
455,1,MK238,b,MK238b,MK
456,1,MK240,b,MK240a,MK
457,1,MK240,b,MK240b,MK
458,1,MK240,b,MK240c,MK
459,1,MK240,b,MK240d,MK
460,1,MK242,b,MK242a,MK
461,1,MK243,b,MK243a,MK
462,1,MK244,b,MK244a,MK
463,1,MK245,b,MK245a,MK
464,1,MK245,b,MK245b,MK
465,1,MK245,b,MK245c,MK
466,1,MK245,b,MK245d,MK
467,1,MK247,b,MK247a,MK
468,1,MK248,b,MK248a,MK
469,1,MK248,b,MK248b,MK
470,1,MK249,b,MK249a,MK
471,1,MK249,b,MK249b,MK
472,1,MK249,b,MK249c,MK
473,1,MK249,b,MK249d,MK
474,1,MK249,b,MK249e,MK
475,1,MK250,b,MK250a,MK
476,1,MK251,b,MK251a,MK
477,1,MK251,b,MK251b,MK
478,1,MK251,b,MK251c,MK
479,1,MK252,b,MK252a,MK
480,1,MK253,b,MK253a,MK
481,1,MK253,b,MK253b,MK
482,1,MK253,b,MK253c,MK
483,1,MK253,b,MK253d,MK
484,1,MK253,b,MK253e,MK
485,1,MK255,b,MK255a,MK
486,1,MK255,b,MK255b,MK
487,1,MK255,b,MK255c,MK
488,1,MK256,b,MK256a,MK
489,1,MK257,b,MK257a,MK
490,1,MK260,b,MK260a,MK
491,1,MK261,b,MK261a,MK
492,1,MK265,b,MK265a,MK
493,1,MK266,b,MK266a,MK
494,1,MK268,b,MK268a,MK
495,1,MK269,b,MK269a,MK
496,1,MK269,b,MK2695,MK
497,1,MK269,b,MK269c,MK
498,1,MK271,b,MK271a,MK
499,1,MK271,b,MK271b,MK
500,1,MK271,b,MK271c,MK
501,1,MK271,b,MK271d,MK
502,1,MK272,b,MK272a,MK
503,1,MK277,b,MK277a,MK
504,1,MK291,b,MK291a,MK
505,1,MK291,b,MK291b,MK
506,1,MK301,b,MK301a,MK
507,1,MK301,b,MK301b,MK
508,1,MK301,b,MK301c,MK
509,1,MK301,b,MK301d,MK
510,1,MK301,b,MK301e,MK
511,1,MK303,b,MK303a,MK
512,1,MK304,b,MK304a,MK
513,1,MK306,b,MK306a,MK
514,1,MK308,b,MK308a,MK
515,1,MK311,b,MK311a,MK
516,1,MK311,b,MK311b,MK
517,1,MK312,b,MK312a,MK
518,1,MK312,b,MK312b,MK
519,1,MK316,b,MK316a,MK
520,1,MK330,b,MK330a,MK
521,1,MK330,b,MK330b,MK
522,1,MK330,b,MK330c,MK
